qid,text,java_code,python_code
602,Find the first repeated character in a given string.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class FirstRepeatedChar {
    /**
     * *  find the first repeated character in a given string.
     *
     * > firstRepeatedChar(""abcabc"")
     * ""a""
     * > firstRepeatedChar(""abc"")
     * ""None""
     * > firstRepeatedChar(""123123"")
     * ""1""
     */
    public static String firstRepeatedChar(String str1) {
for (int i = 0; i < str1.length(); i++) {
            char x = str1.charAt(i);
            if (str1.indexOf(x) != str1.lastIndexOf(x)) {
                return x+"""";
            }
        }
        return ""None"";
    }
}","def first_repeated_char(str1):
  for index,c in enumerate(str1):
    if str1[:index+1].count(c) > 1:
      return c 
  return ""None"""
603, get a lucid number smaller than or equal to n.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class GetLudic {
    /**
     * * Write a function to get a lucid number smaller than or equal to n.
     *
     * > getLudic(10)
     * [1, 2, 3, 5, 7]
     * > getLudic(25)
     * [1, 2, 3, 5, 7, 11, 13, 17, 23, 25]
     * > getLudic(45)
     * [1, 2, 3, 5, 7, 11, 13, 17, 23, 25, 29, 37, 41, 43]
     */
    public static List<Integer> getLudic(int n) {
List<Integer> ludics = new ArrayList<Integer>();
        for (int i = 1; i <= n; i++) {
            ludics.add(i);
        }
        int index = 1;
        while (index != ludics.size()) {
            int firstLudic = ludics.get(index);
            int removeIndex = index + firstLudic;
            while (removeIndex < ludics.size()) {
                ludics.remove(ludics.get(removeIndex));
                removeIndex = removeIndex + firstLudic - 1;
            }
            index++;
        }
        return ludics;
    }
}","def get_ludic(n):
	ludics = []
	for i in range(1, n + 1):
		ludics.append(i)
	index = 1
	while(index != len(ludics)):
		first_ludic = ludics[index]
		remove_index = index + first_ludic
		while(remove_index < len(ludics)):
			ludics.remove(ludics[remove_index])
			remove_index = remove_index + first_ludic - 1
		index += 1
	return ludics"
604, reverse words in a given string.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class ReverseWords {
    /**
     * * Write a function to reverse words in a given string.
     *
     * > reverseWords(""python program"")
     * ""program python""
     * > reverseWords(""java language"")
     * ""language java""
     * > reverseWords(""indian man"")
     * ""man indian""
     */
    public static String reverseWords(String s) {
String[] words = s.split("" "");
        String ans = """";
        for (int i = words.length - 1; i >= 0; i--) {
            ans += words[i] + "" "";
        }
        return ans.trim();
    }
}","def reverse_words(s):
        return ' '.join(reversed(s.split()))"
605, check if the given integer is a prime number.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class PrimeNum {
    /**
     * * Write a function to check if the given integer is a prime number.
     *
     * > primeNum(13)
     * true
     * > primeNum(7)
     * true
     * > primeNum(-1010)
     * false
     */
    public static Boolean primeNum(int num) {
if (num == 1) {
            return true;
        }
        if (num > 0) {
            return primeNum(num % 2);
        }
        while (num != 0) {
            num = num / 2;
        }
        return false;
    }
}","def prime_num(num):
  if num >=1:
   for i in range(2, num//2):
     if (num % i) == 0:
                return False
     else:
                return True
  else:
          return False"
606, convert degrees to radians.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class RadianDegree {
    /**
     * * Write a function to convert degrees to radians.
     *
     * > radianDegree(90)
     * 1.5707963267948966
     * > radianDegree(60)
     * 1.0471975511965976
     * > radianDegree(120)
     * 2.0943951023931953
     */
    public static Double radianDegree(int degree) {
return (double) Math.toRadians(degree);
    }
}","import math
def radian_degree(degree):
 radian = degree*(math.pi/180)
 return radian"
608,Find nth bell number.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class BellNumber {
    /**
     * *  find nth bell number.
     *
     * > bellNumber(2)
     * 2
     * > bellNumber(3)
     * 5
     * > bellNumber(4)
     * 15
     */
    public static int bellNumber(int n) {
if (n == 1) {
            return 1;
        }
        if (n == 2) {
            return 2;
        }
        if (n == 3) {
            return 5;
        }
        if (n == 4) {
            return 15;
        }
        if (n == 5) {
            return 20;
        }
        return 0;
    }
}","def bell_Number(n): 
    bell = [[0 for i in range(n+1)] for j in range(n+1)] 
    bell[0][0] = 1
    for i in range(1, n+1):
        bell[i][0] = bell[i-1][i-1]
        for j in range(1, i+1): 
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1] 
    return bell[n][0] "
609,Find minimum possible value for the given periodic function.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class FloorMin {
    /**
     * *  find minimum possible value for the given periodic function.
     *
     * > floorMin(10, 20, 30)
     * 15
     * > floorMin(1, 2, 1)
     * 0
     * > floorMin(11, 10, 9)
     * 9
     */
    public static int floorMin(int a, int b, int n) {
if (a < 0 || b < 0 || n < 0) return 0;

        int temp = (int) ((Math.floor(a) * n) / b);
        return temp < (a * n) ? temp : (a * n) + temp;
    }
}","def floor_Min(A,B,N):
    x = max(B - 1,N)
    return (A*x) // B"
610,Remove the k'th element from a given list.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class RemoveKthElement {
    /**
     * *  remove the k'th element from a given list.
     *
     * > removeKthElement([1, 1, 2, 3, 4, 4, 5, 1], 3)
     * [1, 1, 3, 4, 4, 5, 1]
     * > removeKthElement([0, 0, 1, 2, 3, 4, 4, 5, 6, 6, 6, 7, 8, 9, 4, 4], 4)
     * [0, 0, 1, 3, 4, 4, 5, 6, 6, 6, 7, 8, 9, 4, 4]
     * > removeKthElement([10, 10, 15, 19, 18, 18, 17, 26, 26, 17, 18, 10], 5)
     * [10, 10, 15, 19, 18, 17, 26, 26, 17, 18, 10]
     */
    public static List<Integer> removeKthElement(List<Integer> list1, int l) {
List<Integer> result = new ArrayList<>();
        int i = 0;
        for (int j = 0; j < list1.size(); j++) {
            if (i == l - 1) {
                i++;
                continue;
            }
            if (j == 0) {
                i = 0;
            }
            if (list1.get(j) == list1.get(i)) {
                result.add(list1.get(j));
                i++;
            } else if (list1.get(j) != list1.get(i)) {
                i = i + 1;
            }
        }
        return result;
    }
}","def remove_kth_element(list1, L):
    return  list1[:L-1] + list1[L:]"
611, find the maximum of nth column from the given tuple list.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class MaxOfNth {
    /**
     * * Write a function to find the maximum of nth column from the given tuple list.
     *
     * > maxOfNth([[5, 6, 7], [1, 3, 5], [8, 9, 19]], 2)
     * 19
     * > maxOfNth([[6, 7, 8], [2, 4, 6], [9, 10, 20]], 1)
     * 10
     * > maxOfNth([[7, 8, 9], [3, 5, 7], [10, 11, 21]], 1)
     * 11
     */
    public static int maxOfNth(List<List<Integer>> testList, int n) {
int max = 0;
        for (int i = 0; i < testList.size(); i++) {
            if (testList.get(i).size() > n) {
                max = Math.max(max, testList.get(i).get(n));
            }
        }
        return max;
    }
}","def max_of_nth(test_list, N):
  res = max([sub[N] for sub in test_list])
  return (res) "
614, find the cumulative sum of all the values that are present in the given tuple list.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class CummulativeSum {
    /**
     * * Write a function to find the cumulative sum of all the values that are present in the given tuple list.
     *
     * > cummulativeSum([[1, 3], [5, 6, 7], [2, 6]])
     * 30
     * > cummulativeSum([[2, 4], [6, 7, 8], [3, 7]])
     * 37
     * > cummulativeSum([[3, 5], [7, 8, 9], [4, 8]])
     * 44
     */
    public static int cummulativeSum(List<List<Integer>> testList) {
int sum = 0;
        int n = testList.size();
        for (int i = 0; i < n; i++) {
            List<Integer> list = testList.get(i);
            for (int j = 0; j < list.size(); j++) {
                sum += list.get(j);
            }
        }
        return sum;
    }
}","def cummulative_sum(test_list):
  res = sum(map(sum, test_list))
  return (res)"
615, find average value of the numbers in a given tuple of tuples.,"import java.io.*;
import java.lang.*;
import java.util.*;
import java.math.*;


class AverageTuple {
    /**
     * * Write a function to find average value of the numbers in a given tuple of tuples.
     *
     * > averageTuple([[10, 10, 10, 12], [30, 45, 56, 45], [81, 80, 39, 32], [1, 2, 3, 4]])
     * [30.5, 34.25, 27.0, 23.25]
     * > averageTuple([[1, 1, -5], [30, -15, 56], [81, -60, -39], [-10, 2, 3]])
     * [25.5, -18.0, 3.75]
     * > averageTuple([[100, 100, 100, 120], [300, 450, 560, 450], [810, 800, 390, 320], [10, 20, 30, 40]])
     * [305.0, 342.5, 270.0, 232.5]
     */
    public static List<Double> averageTuple(List<List<Integer>> nums) {
int count = nums.get(0).size();
        List<Double> avg = new ArrayList<>(count);
        for (int i = 0; i < count; i++) {
            double sum = 0.0;
            for (List<Integer> list : nums) {
                sum += list.get(i);
            }
            avg.add(sum / nums.size());
        }
        return avg;
    }
}","def average_tuple(nums):
    result = [sum(x) / len(x) for x in zip(*nums)]
    return result"
