qid,text,python_code_original,generated_python_code_first_attempt,original_passes_all_tests,passes_all_tests,ast_similarity_score,bleu_score,rouge1_score,rouge2_score,rougeL_score,codebert_similarity_score,translation_score
602,Find the first repeated character in a given string.,"def first_repeated_char(str1):
  for index,c in enumerate(str1):
    if str1[:index+1].count(c) > 1:
      return c 
  return ""None""","def first_repeated_char(string):
    for i in range(len(string)):
        for j in range(i + 1, len(string)):
            if string[i] == string[j]:
                return string[i]
    return None",True,False,0.6364,0.1824596530661635,0.4313725490196078,0.16326530612244897,0.39215686274509803,0.8663830757141113,0.5907040914264032
603, get a lucid number smaller than or equal to n.,"def get_ludic(n):
	ludics = []
	for i in range(1, n + 1):
		ludics.append(i)
	index = 1
	while(index != len(ludics)):
		first_ludic = ludics[index]
		remove_index = index + first_ludic
		while(remove_index < len(ludics)):
			ludics.remove(ludics[remove_index])
			remove_index = remove_index + first_ludic - 1
		index += 1
	return ludics","def get_ludic(n):
    ludic = [1, 2, 3, 5, 7]
    for i in range(11, n + 1):
        for j in ludic:
            if i % j == 0:
                break
        else:
            ludic.append(i)
    return ludic",True,False,0.4394,0.1680886561033026,0.40963855421686746,0.22222222222222224,0.3132530120481928,0.8913528323173523,0.5376952752614302
604, reverse words in a given string.,"def reverse_words(s):
        return ' '.join(reversed(s.split()))","def reverse_words(s):
  return ' '.join(reversed(s.split()))",True,True,1.0,1.0,1.0,1.0,1.0,1.0000001192092896,1.0000000417232515
605, check if the given integer is a prime number.,"def prime_num(num):
  if num >=1:
   for i in range(2, num//2):
     if (num % i) == 0:
                return False
     else:
                return True
  else:
          return False","def prime_num(num):
  if num > 1:
    for i in range(2, num):
      if (num % i) == 0:
        return False
  else:
    return True",True,False,0.803,0.7461504769138344,0.9166666666666666,0.8695652173913043,0.9166666666666666,0.9915856719017029,0.8950649603932113
606, convert degrees to radians.,"import math
def radian_degree(degree):
 radian = degree*(math.pi/180)
 return radian","def radian_degree(degree):
  radian = (degree * 3.1415926535897932) / 180
  return radian",True,True,1.0,0.48649824146709,0.7500000000000001,0.6363636363636365,0.7500000000000001,0.9076962471008301,0.8356616924501815
608,Find nth bell number.,"def bell_Number(n): 
    bell = [[0 for i in range(n+1)] for j in range(n+1)] 
    bell[0][0] = 1
    for i in range(1, n+1):
        bell[i][0] = bell[i-1][i-1]
        for j in range(1, i+1): 
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1] 
    return bell[n][0] ","def bell_Number(n):
    if n == 0:
        return 1
    if n == 1:
        return 2
    return bell_Number(n - 1) + bell_Number(n - 2)",True,False,0.3636,0.048521351889296745,0.3614457831325301,0.22222222222222224,0.3132530120481928,0.8860775232315063,0.5001229095515499
609,Find minimum possible value for the given periodic function.,"def floor_Min(A,B,N):
    x = max(B - 1,N)
    return (A*x) // B","def floor_Min(a, b, c):
  return min(a, b, c)",True,False,0.7273,0.1417883035974551,0.6153846153846153,0.3333333333333333,0.6153846153846153,0.8680984973907471,0.6703511249593276
610,Remove the k'th element from a given list.,"def remove_kth_element(list1, L):
    return  list1[:L-1] + list1[L:]","def remove_kth_element(nums, k):
    nums.pop(k - 1)
    return nums",True,True,0.9545,0.279442508118226,0.5,0.2727272727272727,0.4166666666666667,0.649915337562561,0.6201759825950827
611, find the maximum of nth column from the given tuple list.,"def max_of_nth(test_list, N):
  res = max([sub[N] for sub in test_list])
  return (res) ","def max_of_nth(l, n): 
	res = l[0][n] 
	for i in range(1, len(l)): 
		if (l[i][n] > res): 
			res = l[i][n] 
	return res",True,True,0.5455,0.17356198217478072,0.4782608695652174,0.27272727272727276,0.4782608695652174,0.8104065656661987,0.5705750772283157
614, find the cumulative sum of all the values that are present in the given tuple list.,"def cummulative_sum(test_list):
  res = sum(map(sum, test_list))
  return (res)","def cummulative_sum(test_list):
  sum = 0
  for i in range(len(test_list)):
    sum += sum(test_list[i])
  return sum",True,False,0.8409,0.36689383458738845,0.588235294117647,0.37499999999999994,0.588235294117647,0.9032199382781982,0.72885018538552
